TrainID,Station,Platform,ArrivalTime,DepartureTime,Delaymin,PassengerCount,Speedkmh,EnergyConsumptionkWh
Torus.001,Kolkata,Platform_C,08:00,08:10,0,217,123,1627.74
Torus.002,Hyderabad,Platform_B,08:35,08:43,0,499,83,1284.31
Torus.003,Kolkata,Platform_C,09:13,09:23,-2,428,101,1828.11
Torus.004,Bangalore,Platform_B,09:27,09:38,0,805,115,1176.62
Torus.005,Mumbai,Platform_B,09:56,10:01,20,1026,122,1336.16
Torus.006,Bangalore,Platform_C,10:12,10:22,-2,745,82,1347.1
Torus.001,Jaipur,Platform_D,10:48,10:58,5,1103,60,1228.01
Torus.002,Delhi,Platform_C,11:24,11:33,2,784,78,1349.0
Torus.003,Kolkata,Platform_A,11:39,11:50,2,133,94,1699.89
Torus.004,Bangalore,Platform_A,12:19,12:28,20,478,70,660.71
Torus.005,Jaipur,Platform_A,12:50,12:57,2,100,72,1212.0
Torus.006,Hyderabad,Platform_D,13:00,13:06,0,386,102,761.02
Torus.001,Pune,Platform_C,13:19,13:25,0,637,128,1510.51
Torus.002,Delhi,Platform_C,13:59,14:07,0,534,73,1501.1
Torus.003,Pune,Platform_C,14:35,14:48,2,411,104,813.4
Torus.004,Hyderabad,Platform_A,15:08,15:15,2,717,68,796.23
Torus.005,Delhi,Platform_D,15:25,15:38,0,799,68,1504.15
Torus.006,Mumbai,Platform_A,15:41,15:51,-2,513,127,1866.27
Torus.001,Kolkata,Platform_D,16:05,16:16,10,404,96,1261.88
Torus.002,Hyderabad,Platform_B,16:24,16:31,2,957,128,1609.66
Torus.003,Chennai,Platform_D,16:55,17:05,15,303,109,944.23
Torus.004,Hyderabad,Platform_C,17:24,17:32,15,1157,91,711.92
Torus.005,Mumbai,Platform_B,18:03,18:13,0,282,88,1568.81
Torus.006,Mumbai,Platform_A,18:42,18:50,0,940,107,1061.3
Torus.001,Hyderabad,Platform_C,19:04,19:16,2,997,111,1530.13
Torus.002,Delhi,Platform_B,19:34,19:47,-5,869,93,1320.49
Torus.003,Chennai,Platform_A,20:02,20:10,0,1067,107,1650.14
Torus.004,Pune,Platform_B,20:36,20:45,-5,524,99,1676.37
Torus.005,Mumbai,Platform_A,20:46,21:01,-2,428,67,1509.07
Torus.006,Bangalore,Platform_A,21:11,21:24,-2,1027,111,1132.71
Torus.001,Chennai,Platform_A,21:24,21:38,5,101,101,533.43
Torus.002,Delhi,Platform_A,21:54,22:07,0,637,122,899.05
Torus.003,Jaipur,Platform_B,22:05,22:15,5,434,130,612.36
Torus.004,Mumbai,Platform_C,22:28,22:40,20,901,114,1726.14
Torus.005,Mumbai,Platform_B,22:57,23:02,0,591,63,1499.85
Torus.006,Hyderabad,Platform_B,23:26,23:40,-2,986,110,1229.83
Torus.001,Mumbai,Platform_A,23:47,23:58,0,181,68,1840.79
Torus.002,Delhi,Platform_B,00:16,00:25,2,744,77,1275.53
Torus.003,Hyderabad,Platform_A,00:36,00:44,0,1016,122,1195.09
Torus.004,Hyderabad,Platform_A,01:10,01:25,0,173,74,941.51
Torus.005,Chennai,Platform_B,01:40,01:46,0,942,117,1422.12
Torus.006,Kolkata,Platform_A,02:07,02:18,5,306,93,1004.48
Torus.001,Bangalore,Platform_A,02:27,02:33,-2,1164,78,1767.18
Torus.002,Kolkata,Platform_D,02:41,02:47,2,240,122,1080.64
Torus.003,Pune,Platform_C,03:21,03:27,2,758,100,892.62
Torus.004,Kolkata,Platform_C,03:53,03:58,5,127,126,879.31
Torus.005,Pune,Platform_A,04:17,04:32,2,641,60,1740.79
Torus.006,Jaipur,Platform_D,04:30,04:44,0,235,98,1032.11
Torus.001,Bangalore,Platform_A,04:45,04:50,5,206,99,1916.59
Torus.002,Jaipur,Platform_C,04:55,05:05,0,632,69,1180.26
Torus.003,Hyderabad,Platform_C,05:20,05:26,5,948,88,1703.14
Torus.004,Jaipur,Platform_C,05:40,05:46,-2,986,63,1817.01
Torus.005,Kolkata,Platform_C,06:08,06:19,0,197,96,865.18
Torus.006,Delhi,Platform_D,06:43,06:49,5,104,67,1394.15
Torus.001,Delhi,Platform_A,07:17,07:30,5,931,104,760.61
Torus.002,Pune,Platform_A,07:52,08:05,5,867,99,1055.05
Torus.003,Jaipur,Platform_D,08:27,08:40,-2,780,66,1192.24
Torus.004,Chennai,Platform_C,09:07,09:22,2,438,86,1749.72
Torus.005,Pune,Platform_A,09:47,09:59,2,788,105,1176.6
Torus.006,Delhi,Platform_C,10:14,10:26,2,269,79,778.04
Torus.001,Pune,Platform_B,10:27,10:38,2,1123,94,1175.75
Torus.002,Chennai,Platform_B,11:05,11:18,2,945,112,1827.51
Torus.003,Kolkata,Platform_D,11:16,11:21,15,946,69,1372.5
Torus.004,Pune,Platform_D,11:52,12:04,10,719,70,1234.93
Torus.005,Jaipur,Platform_A,12:23,12:31,0,817,73,1770.75
Torus.006,Mumbai,Platform_C,12:35,12:43,20,739,115,996.41
Torus.001,Hyderabad,Platform_C,12:55,13:02,-5,229,70,1000.3
Torus.002,Bangalore,Platform_D,13:25,13:37,-5,1023,104,1265.43
Torus.003,Kolkata,Platform_A,14:05,14:17,2,189,123,1426.52
Torus.004,Hyderabad,Platform_C,14:38,14:53,0,603,114,1271.19
Torus.005,Hyderabad,Platform_C,14:59,15:12,20,1073,119,921.33
Torus.006,Jaipur,Platform_B,15:27,15:38,-2,742,92,1971.92
Torus.001,Jaipur,Platform_D,15:42,15:55,-5,251,83,1934.35
Torus.002,Chennai,Platform_C,15:53,15:59,10,872,97,1859.35
Torus.003,Mumbai,Platform_D,16:18,16:24,10,1097,82,1921.43
Torus.004,Delhi,Platform_A,16:42,16:47,5,912,111,594.02
Torus.005,Chennai,Platform_C,17:12,17:26,0,659,73,810.45
Torus.006,Delhi,Platform_A,17:33,17:48,2,1108,84,1327.58
Torus.001,Jaipur,Platform_C,18:13,18:28,5,870,101,957.78
Torus.002,Bangalore,Platform_A,18:38,18:47,10,1041,92,1669.94
Torus.003,Mumbai,Platform_D,18:57,19:02,5,207,71,1697.92
Torus.004,Chennai,Platform_D,19:36,19:42,5,272,122,1597.7
Torus.005,Bangalore,Platform_B,20:09,20:22,0,898,87,1579.72
Torus.006,Jaipur,Platform_C,20:23,20:31,0,1133,99,613.82
Torus.001,Hyderabad,Platform_B,20:48,20:58,2,254,129,836.84
Torus.002,Chennai,Platform_B,21:24,21:39,5,829,75,1627.04
Torus.003,Delhi,Platform_C,22:00,22:06,2,1134,125,890.6
Torus.004,Bangalore,Platform_A,22:10,22:20,0,251,103,1447.94
Torus.005,Bangalore,Platform_A,22:49,23:03,0,636,119,1811.91
Torus.006,Kolkata,Platform_C,23:02,23:10,5,741,80,1578.33
Torus.001,Chennai,Platform_C,23:18,23:25,-2,538,85,1184.36
Torus.002,Pune,Platform_D,23:41,23:56,0,871,78,1407.44
Torus.003,Delhi,Platform_B,00:06,00:11,0,1179,129,526.25
Torus.004,Kolkata,Platform_D,00:27,00:39,-2,320,75,1826.32
